Drop-Off Site Name,Borough,Site Location,Days,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Start Time,End Time
Mt. Lebanon Fresh Food Box,Brooklyn,"Mt. Lebanon Baptist Church, 228 Decatur Street, Brooklyn, NY 11233",Saturday,N,N,N,N,N,Y,N,11,14
Park Church Co-op,Brooklyn,"Park Church Coop, 129 Russell Street Brooklyn",Wednesday,N,N,Y,N,N,N,N,18,21
Parkchester Greenmarket,Bronx,"White Plains Rd & Westchester Ave, Bronx, NY 10472",Friday,N,N,N,N,Y,N,N,8,15
Parkside Greenmarket,Brooklyn,"Ocean Ave & Parkside Ave, Brooklyn, NY 11226",Sunday,N,N,N,N,N,N,Y,9,13
Poe Park Greenmarket,Bronx,"E. 192 St. btwn Grand Concourse and Valentine, Bronx, NY, 10468",Tuesday,N,Y,N,N,N,N,N,9,13
Queens Botanical Garden Public Food Scrap Drop-Off,Queens,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",Everyday,Y,Y,Y,Y,Y,Y,Y,9,18
Queens Library at Broadway,Queens,"40-20 Broadway, Long Island City, NY, 11103",Monday,Y,N,N,N,N,N,N,13,19
Queens Library at Steinway,Queens,"21-45 31st St, Astoria, NY 11105",Tuesday,N,Y,N,N,N,N,N,8,11
Red Hook Community Farm,Brooklyn,Otsego Street and Beard Street,Friday & Saturday,N,N,N,N,Y,Y,N,9,13
Roosevelt Island,Manhattan,543 West Main Street at the Chapel of the Good Shepherd,Saturday,N,N,N,N,N,Y,N,9,14
Socrates Sculpture Park,Queens,"Broadway & Vernon Blvd, Queens, NY 11106",Everyday,Y,Y,Y,Y,Y,Y,Y,9,18
St. George Greenmarket,Staten Island,"St Marks Pl & Hyatt St
Staten Island, NY 10301",Saturday,N,N,N,N,N,Y,N,8,13
Staten Island Mall Greenmarket,Staten Island,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314",Saturday,N,N,N,N,N,Y,N,8,13
Sunnyside Greenmarket,Queens,"Skillman Ave at 43rd St,Queens,NY,11104",Saturday,N,N,N,N,N,Y,N,8,14
Tompkins Square Greenmarket,Manhattan,"E 7th St & Avenue A, New York, NY 10009",Sunday,N,N,N,N,N,N,Y,8,13
Tribeca Greenmarket,Manhattan,"Greenwich Street at Chambers Street,New York,NY",Saturday & Wednesday,N,N,Y,N,N,Y,N,8,13
Tucker Square Greenmarket,Manhattan,"Columbus Ave & W 66th St, New York, NY 10023","Saturday & Thursday
 ",N,N,N,Y,N,Y,N,8,15
Union Square Greenmarket,Manhattan,"E 17th St & Union Square E, New York, NY",Monday & Wednesday & Friday & Saturday,Y,N,Y,N,Y,Y,N,8,17
Uptown Grand Central Fresh Food Box,Manhattan,"125th Street at Park Avenue, outside the Metro-North Station",Wednesday,N,N,Y,N,N,N,N,15,19
West Farms Sq - E Tremont Ave,Bronx,E Tremont Ave & Boston Road - NE Corner,Friday,N,N,N,N,Y,N,N,6,9
